BAG_huisnummer,BAG_huisletter,BAG_huisnummertoevoeging,BAG_postcode,BAG_openbareruimtenaam,BAG_woonplaatsnaam,Energielabel,Energielabels_Bouwjaar,full_address,longitude,latitude,building_polygon_wkt,busy_roads
26,,3,1054CJ,Tweede Helmersstraat,Amsterdam,G,1930,"Tweede Helmersstraat 26 3, 1054CJ, Amsterdam",4.87730946,52.36481056,"MULTIPOLYGON (((4.8772971 52.3648651,4.8773586 52.3647866,4.8772938 52.3647674,4.8772657 52.3647735,4.8771932 52.3648667,4.8772783 52.364891,4.8772838 52.3648842,4.8772971 52.3648651)))",0
26,,2,1054CJ,Tweede Helmersstraat,Amsterdam,C,1903,"Tweede Helmersstraat 26 2, 1054CJ, Amsterdam",4.87730946,52.36481056,"MULTIPOLYGON (((4.8772971 52.3648651,4.8773586 52.3647866,4.8772938 52.3647674,4.8772657 52.3647735,4.8771932 52.3648667,4.8772783 52.364891,4.8772838 52.3648842,4.8772971 52.3648651)))",0
26,,1,1054CJ,Tweede Helmersstraat,Amsterdam,E,1900,"Tweede Helmersstraat 26 1, 1054CJ, Amsterdam",4.87730946,52.36481056,"MULTIPOLYGON (((4.8772971 52.3648651,4.8773586 52.3647866,4.8772938 52.3647674,4.8772657 52.3647735,4.8771932 52.3648667,4.8772783 52.364891,4.8772838 52.3648842,4.8772971 52.3648651)))",0
26,,H,1054CJ,Tweede Helmersstraat,Amsterdam,C,1900,"Tweede Helmersstraat 26 H, 1054CJ, Amsterdam",4.87730946,52.36481056,"MULTIPOLYGON (((4.8772971 52.3648651,4.8773586 52.3647866,4.8772938 52.3647674,4.8772657 52.3647735,4.8771932 52.3648667,4.8772783 52.364891,4.8772838 52.3648842,4.8772971 52.3648651)))",0
25,,1,1054CB,Tweede Helmersstraat,Amsterdam,G,1926,"Tweede Helmersstraat 25 1, 1054CB, Amsterdam",4.87722426,52.36455854,"MULTIPOLYGON (((4.8772617 52.3645113,4.8772704 52.3645005,4.8771929 52.3644766,4.8771377 52.3644602,4.8771292 52.3644714,4.8770943 52.3644614,4.8771029 52.36445,4.8769952 52.364419,4.8769854 52.3644301,4.8769598 52.3644228,4.8768974 52.3645023,4.8771207 52.3645677,4.87723 52.3645997,4.8772903 52.3645196,4.8772617 52.3645113)))",0
25,,H,1054CB,Tweede Helmersstraat,Amsterdam,E,1930,"Tweede Helmersstraat 25 H, 1054CB, Amsterdam",4.87722426,52.36455854,"MULTIPOLYGON (((4.8772617 52.3645113,4.8772704 52.3645005,4.8771929 52.3644766,4.8771377 52.3644602,4.8771292 52.3644714,4.8770943 52.3644614,4.8771029 52.36445,4.8769952 52.364419,4.8769854 52.3644301,4.8769598 52.3644228,4.8768974 52.3645023,4.8771207 52.3645677,4.87723 52.3645997,4.8772903 52.3645196,4.8772617 52.3645113)))",0
23,,3,1054CB,Tweede Helmersstraat,Amsterdam,B,1917,"Tweede Helmersstraat 23 3, 1054CB, Amsterdam",4.87729756,52.36456784,"MULTIPOLYGON (((4.8774345 52.3646598,4.8775584 52.3644994,4.8773553 52.3644387,4.877353 52.3644416,4.8772903 52.3645196,4.87723 52.3645997,4.8774345 52.3646598)))",0
22,,2,1054CJ,Tweede Helmersstraat,Amsterdam,C,1900,"Tweede Helmersstraat 22 2, 1054CJ, Amsterdam",4.87745596,52.36483816,"MULTIPOLYGON (((4.8774423 52.3649311,4.8775172 52.3648337,4.8774416 52.3648113,4.8773805 52.36489,4.877366 52.3649088,4.8774423 52.3649311)))",0
21,,3,1054CB,Tweede Helmersstraat,Amsterdam,A,1917,"Tweede Helmersstraat 21 3, 1054CB, Amsterdam",4.87738524,52.36460417,"MULTIPOLYGON (((4.8774345 52.3646598,4.8775584 52.3644994,4.8773553 52.3644387,4.877353 52.3644416,4.8772903 52.3645196,4.87723 52.3645997,4.8774345 52.3646598)))",0
21,,2,1054CB,Tweede Helmersstraat,Amsterdam,G,1917,"Tweede Helmersstraat 21 2, 1054CB, Amsterdam",4.87738524,52.36460417,"MULTIPOLYGON (((4.8774345 52.3646598,4.8775584 52.3644994,4.8773553 52.3644387,4.877353 52.3644416,4.8772903 52.3645196,4.87723 52.3645997,4.8774345 52.3646598)))",0
